cueSide,targetSide,correct,ISI,Validity,thisN,thisTrialN,thisRepN,practice_key_resp.keys,practice_key_resp.corr,practice_key_resp.rt,practice_key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,preCue_Instruction.started,text_instr_2.started,nextButton.started,precue_bottom_txt.started,preCue_Instruction.stopped,nextButton.keys,nextButton.rt,nextButton.duration,Pre_Practice_window.started,key_instruct_3.started,preExperimentTxt_2.started,Pre_Practice_window.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,practice_trials.started,practice_fixation.started,practice_leftBox.started,practice_RightBox.started,practice_key_resp.started,practice_Cue.started,practice_Cue.stopped,practice_target.started,practice_trials.stopped,practice_loop.practice_key_resp.keys,practice_loop.practice_key_resp.corr,practice_loop.practice_key_resp.rt,practice_loop.practice_key_resp.duration,practice_error_feedback.started,text_2.started,practice_error_feedback.stopped,text_2.stopped,participant,session,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,0.024556583000048704,0.044984082999690145,0.044984082999690145,0.044984082999690145,0.9789060409993908,space,0.9046190839999326,None,,,,,,,,,,,,,,,,,,,,,,,,,801290,001,2025-07-23_11h04.36.723,IOR3,2024.2.4,2025-07-23 11h04.40.276297 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.9792924160001348,0.9895551659992634,0.9895551659992634,1.7420546249995823,right,0.74730104199989,None,,,,,,,,,,,,,,,,,,801290,001,2025-07-23_11h04.36.723,IOR3,2024.2.4,2025-07-23 11h04.40.276297 -0400,
"[-5.334, 0]","[5.334, 0]",right,0.75,Invalid,0,0,0,right,1,1.823809791999338,None,0,0,0,8,1.8038883749995875,,,,,,,,,,,,,,,,,1.7526029999999082,1.8038883749995875,1.8038883749995875,1.8038883749995875,1.8038883749995875,2.48897045800004,2.527385124999455,3.2862683749999633,3.633908082999369,right,1,1.823809791999338,None,3.6343227500001376,3.6465445829999226,4.634779250000065,,801290,001,2025-07-23_11h04.36.723,IOR3,2024.2.4,2025-07-23 11h04.40.276297 -0400,
"[-5.334, 0]","[5.334, 0]",right,1.35,Invalid,1,1,0,right,1,2.431099290999555,None,0,1,1,14,4.640978957999323,,,,,,,,,,,,,,,,,4.635507040999983,4.640978957999323,4.640978957999323,4.640978957999323,4.640978957999323,5.3831214159999945,5.429337208000106,6.781814250000025,7.083480665999559,right,1,2.431099290999555,None,7.083894540999609,7.089509957999326,8.07402812500004,8.079571332999876,801290,001,2025-07-23_11h04.36.723,IOR3,2024.2.4,2025-07-23 11h04.40.276297 -0400,
"[5.334, 0]","[5.334, 0]",right,0.05,Valid,2,2,0,right,1,1.489113499999803,None,0,2,2,0,8.079571332999876,,,,,,,,,,,,,,,,,8.074664707999545,8.079571332999876,8.079571332999876,8.079571332999876,8.079571332999876,8.82897333299934,8.86932804099979,8.932018290999622,9.572564041000078,right,1,1.489113499999803,None,9.572950374999891,9.578785040999719,10.565960416000053,10.571982790999755,801290,001,2025-07-23_11h04.36.723,IOR3,2024.2.4,2025-07-23 11h04.40.276297 -0400,
"[-5.334, 0]","[5.334, 0]",right,0.35,Invalid,3,3,0,right,1,1.4659114169999157,None,0,3,3,5,10.571982790999755,,,,,,,,,,,,,,,,,10.566622915999687,10.571982790999755,10.571982790999755,10.571982790999755,10.571982790999755,11.313368041000103,11.352444415999344,11.719098832999407,12.03913779100003,right,1,1.4659114169999157,None,12.039520790999632,12.049597207999796,13.041543457999978,,801290,001,2025-07-23_11h04.36.723,IOR3,2024.2.4,2025-07-23 11h04.40.276297 -0400,
"[5.334, 0]","[5.334, 0]",right,0.95,Valid,4,4,0,,,,,0,4,4,11,13.047748332999618,,,,,,,,,,,,,,,,,13.042302666000069,13.047748332999618,13.047748332999618,13.047748332999618,13.047748332999618,13.788243624999268,13.828168874999392,14.788814040999569,15.112161540999296,right,1,2.058242916999916,None,15.112531290999868,15.122436540999843,,,,,,,,,
