cueSide,targetSide,correct,ISI,Validity,thisN,thisTrialN,thisRepN,practice_key_resp.keys,practice_key_resp.corr,practice_key_resp.rt,practice_key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,preCue_Instruction.started,text_instr_2.started,nextButton.started,precue_bottom_txt.started,preCue_Instruction.stopped,nextButton.keys,nextButton.rt,nextButton.duration,Pre_Practice_window.started,key_instruct_3.started,preExperimentTxt_2.started,Pre_Practice_window.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,practice_trials.started,practice_fixation.started,practice_leftBox.started,practice_RightBox.started,practice_key_resp.started,practice_Cue.started,practice_Cue.stopped,practice_trials.stopped,practice_loop.practice_key_resp.keys,practice_loop.practice_key_resp.corr,practice_loop.practice_key_resp.rt,practice_loop.practice_key_resp.duration,practice_error_feedback.started,text_2.started,text_2.stopped,practice_error_feedback.stopped,practice_target.started,participant,session,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,0.026256541998009197,0.04378645900578704,0.04378645900578704,0.04378645900578704,1.4316491670033429,space,1.358644916996127,None,,,,,,,,,,,,,,,,,,,,,,,,,012312,001,2025-10-06_10h17.23.802,IOR3,2024.2.4,2025-10-06 10h17.29.384300 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.4320277500082739,1.446599792005145,1.446599792005145,2.4176298340025824,right,0.9571593750006286,None,,,,,,,,,,,,,,,,,,012312,001,2025-10-06_10h17.23.802,IOR3,2024.2.4,2025-10-06 10h17.29.384300 -0400,
"[5.334, 0]","[-5.334, 0]",left,0.55,Invalid,0,0,0,right,0,1.2333147500030464,None,0,0,0,7,2.482842166995397,,,,,,,,,,,,,,,,,2.4282674590067472,2.482842166995397,2.482842166995397,2.482842166995397,2.482842166995397,3.1631720419973135,3.211174708994804,3.719241708997288,right,0,1.2333147500030464,None,3.7195936670032097,3.72538474999601,4.71727095899405,4.709396250007558,,012312,001,2025-10-06_10h17.23.802,IOR3,2024.2.4,2025-10-06 10h17.29.384300 -0400,
"[-5.334, 0]","[-5.334, 0]",left,0.35,Valid,1,1,0,left,1,1.1537629589874996,None,0,1,1,4,4.71727095899405,,,,,,,,,,,,,,,,,4.710232625002391,4.71727095899405,4.71727095899405,4.71727095899405,4.71727095899405,5.458905959007097,5.504436667004484,5.8848787089955295,left,1,1.1537629589874996,None,5.885218124996754,5.891057375003584,6.881095208998886,6.874907167002675,5.859582917008083,012312,001,2025-10-06_10h17.23.802,IOR3,2024.2.4,2025-10-06 10h17.29.384300 -0400,
"[-5.334, 0]","[5.334, 0]",right,1.15,Invalid,2,2,0,left,0,1.159583874992677,None,0,2,2,12,6.881095208998886,,,,,,,,,,,,,,,,,6.875675292001688,6.881095208998886,6.881095208998886,6.881095208998886,6.881095208998886,7.624954917002469,7.671470875007799,8.050272334003239,left,0,1.159583874992677,None,8.050565249999636,8.0546724589949,,9.051073249996989,,012312,001,2025-10-06_10h17.23.802,IOR3,2024.2.4,2025-10-06 10h17.29.384300 -0400,
"[5.334, 0]","[5.334, 0]",right,1.15,Valid,3,3,0,right,1,1.045087542006513,None,0,3,3,13,9.057347709007445,,,,,,,,,,,,,,,,,9.051891875002184,9.057347709007445,9.057347709007445,9.057347709007445,9.057347709007445,9.792958375008311,9.841066209002747,10.106391374996747,right,1,1.045087542006513,None,10.106768166995607,10.112200874995324,,11.108128042003955,,012312,001,2025-10-06_10h17.23.802,IOR3,2024.2.4,2025-10-06 10h17.29.384300 -0400,
"[5.334, 0]","[-5.334, 0]",left,0.15,Invalid,4,4,0,,,,,0,4,4,3,11.115344792007818,,,,,,,,,,,,,,,,,11.10891641699709,11.115344792007818,11.115344792007818,11.115344792007818,11.115344792007818,11.855657624997548,11.892235624996829,,,,,,,,,,12.044885666997288,,,,,,,
