cueSide,targetSide,correct,ISI,Validity,thisN,thisTrialN,thisRepN,practice_key_resp.keys,practice_key_resp.corr,practice_key_resp.rt,practice_key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,preCue_Instruction.started,text_instr_2.started,nextButton.started,precue_bottom_txt.started,preCue_Instruction.stopped,nextButton.keys,nextButton.rt,nextButton.duration,Pre_Practice_window.started,key_instruct_3.started,preExperimentTxt_2.started,Pre_Practice_window.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,practice_trials.started,practice_fixation.started,practice_leftBox.started,practice_RightBox.started,practice_key_resp.started,practice_Cue.started,practice_Cue.stopped,practice_target.started,practice_trials.stopped,practice_loop.practice_key_resp.keys,practice_loop.practice_key_resp.corr,practice_loop.practice_key_resp.rt,practice_loop.practice_key_resp.duration,practice_error_feedback.started,text_2.started,text_2.stopped,practice_error_feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,,,0.01870066700030293,0.026622584000506322,0.026622584000506322,0.026622584000506322,1.5576565419996768,space,1.5002970830000777,None,,,,,,,,,,,,,,,,,,,,,,,,,895271,001,2025-07-23_10h52.32.890,IOR _HSF5,2024.2.4,None,2025-07-23 10h52.37.910495 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,2.4690010840004106,2.4755604590000075,2.4755604590000075,3.358364249999795,right,0.871771125000123,None,,,,,,,,,,,,,,,,,,895271,001,2025-07-23_10h52.32.890,IOR _HSF5,2024.2.4,None,2025-07-23 10h52.37.910495 -0400,
"[5.334, 0]","[5.334, 0]",right,0.15,Valid,0,0,0,right,1,1.4010102920001373,None,0,0,0,2,4.3275842920002106,,,,,,,,,,,,,,,,,4.305366499999764,4.3275842920002106,4.3275842920002106,4.3275842920002106,4.3275842920002106,5.042402167000546,5.088275916999919,5.234145749999698,5.735159542000474,right,1,1.4010102920001373,None,6.653014125000482,6.658914208999704,7.661056375000044,7.650734959000147,895271,001,2025-07-23_10h52.32.890,IOR _HSF5,2024.2.4,None,2025-07-23 10h52.37.910495 -0400,
"[-5.334, 0]","[5.334, 0]",right,0.75,Invalid,1,1,0,left,0,0.4603559999995923,None,0,1,1,8,8.578152959000363,,,,,,,,,,,,,,,,,8.563979624999774,8.578152959000363,8.578152959000363,8.578152959000363,8.578152959000363,8.578152959000363,8.627152042000489,,9.04940466700009,left,0,0.4603559999995923,None,9.96264204199997,9.967123334000462,10.969483500000024,10.958838667000236,895271,001,2025-07-23_10h52.32.890,IOR _HSF5,2024.2.4,None,2025-07-23 10h52.37.910495 -0400,
"[5.334, 0]","[-5.334, 0]",left,0.55,Invalid,2,2,0,,,,,0,2,2,7,11.886317000000417,,,,,,,,,,,,,,,,,11.8727362919999,11.886317000000417,11.886317000000417,11.886317000000417,11.886317000000417,11.886317000000417,11.934737833999861,12.30811895900024,12.796658459000355,left,1,0.9052334589996462,None,13.709328459000062,13.721271000000343,,,,,,,,,,
