cueSide,targetSide,correct,ISI,Validity,thisN,thisTrialN,thisRepN,practice_key_resp.keys,practice_key_resp.corr,practice_key_resp.rt,practice_key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,preCue_Instruction.started,text_instr_2.started,nextButton.started,precue_bottom_txt.started,preCue_Instruction.stopped,nextButton.keys,nextButton.rt,nextButton.duration,Pre_Practice_window.started,key_instruct_3.started,preExperimentTxt_2.started,Pre_Practice_window.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,practice_trials.started,practice_fixation.started,practice_leftBox.started,practice_RightBox.started,practice_key_resp.started,practice_Cue.started,practice_Cue.stopped,practice_target.started,practice_trials.stopped,practice_loop.practice_key_resp.keys,practice_loop.practice_key_resp.corr,practice_loop.practice_key_resp.rt,practice_loop.practice_key_resp.duration,practice_error_feedback.started,text_2.started,text_2.stopped,practice_error_feedback.stopped,participant,session,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,0.025607333998777904,0.04094950000580866,0.04094950000580866,0.04094950000580866,0.6442132090014638,space,0.5727417500020238,None,,,,,,,,,,,,,,,,,,,,,,,,,862483,001,2025-10-06_10h21.59.785,IOR3,2024.2.4,2025-10-06 10h22.04.293223 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.6446929590019863,0.6568961250013672,0.6568961250013672,1.4853080000029877,right,0.8169283750030445,None,,,,,,,,,,,,,,,,,,862483,001,2025-10-06_10h21.59.785,IOR3,2024.2.4,2025-10-06 10h22.04.293223 -0400,
"[-5.334, 0]","[5.334, 0]",right,1.15,Invalid,0,0,0,right,1,2.3050445830012904,None,0,0,0,12,1.5349079590087058,,,,,,,,,,,,,,,,,1.4943742500036024,1.5349079590087058,1.5349079590087058,1.5349079590087058,1.5349079590087058,2.228145750006661,2.2755474590085214,3.4313926250033546,3.8414215840020915,right,1,2.3050445830012904,None,3.8417636250087526,3.848164834009367,4.846926375001203,4.840620417002356,862483,001,2025-10-06_10h21.59.785,IOR3,2024.2.4,2025-10-06 10h22.04.293223 -0400,
"[5.334, 0]","[5.334, 0]",right,1.15,Valid,1,1,0,right,1,2.439891333997366,None,0,1,1,13,4.846926375001203,,,,,,,,,,,,,,,,,4.8414982090034755,4.846926375001203,4.846926375001203,4.846926375001203,4.846926375001203,5.584902500006137,5.628180042011081,6.884814959004871,7.294948292008485,right,1,2.439891333997366,None,7.29533433400502,7.3013004590029595,8.29072725000151,8.284119542004191,862483,001,2025-10-06_10h21.59.785,IOR3,2024.2.4,2025-10-06 10h22.04.293223 -0400,
"[5.334, 0]","[5.334, 0]",right,0.95,Valid,2,2,0,right,1,2.266648124990752,None,0,2,2,11,8.29072725000151,,,,,,,,,,,,,,,,,8.284889959002612,8.29072725000151,8.29072725000151,8.29072725000151,8.29072725000151,9.037161959000514,9.08094345900463,10.04533416700724,10.559014625003329,right,1,2.266648124990752,None,10.559328959003324,10.563162459002342,,11.560706459000357,862483,001,2025-10-06_10h21.59.785,IOR3,2024.2.4,2025-10-06 10h22.04.293223 -0400,
"[-5.334, 0]","[5.334, 0]",right,0.75,Invalid,3,3,0,right,1,1.9603857500042068,None,0,3,3,8,11.567184042010922,,,,,,,,,,,,,,,,,11.561538125009974,11.567184042010922,11.567184042010922,11.567184042010922,11.567184042010922,12.297337625001092,12.339833959005773,13.096646209000028,13.531864417003817,right,1,1.9603857500042068,None,13.532227917006821,13.537749834009446,14.53499266700237,14.528687124999124,862483,001,2025-10-06_10h21.59.785,IOR3,2024.2.4,2025-10-06 10h22.04.293223 -0400,
"[5.334, 0]","[-5.334, 0]",left,0.05,Invalid,4,4,0,,,,,0,4,4,1,14.53499266700237,,,,,,,,,,,,,,,,,14.52939866700035,14.53499266700237,14.53499266700237,14.53499266700237,14.53499266700237,,,,,,,,,,,,,,,,,,,
