cueSide,targetSide,correct,ISI,Validity,thisN,thisTrialN,thisRepN,practice_key_resp.keys,practice_key_resp.corr,practice_key_resp.rt,practice_key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,preCue_Instruction.started,text_instr_2.started,nextButton.started,precue_bottom_txt.started,preCue_Instruction.stopped,nextButton.keys,nextButton.rt,nextButton.duration,Pre_Practice_window.started,key_instruct_3.started,preExperimentTxt_2.started,Pre_Practice_window.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,practice_trials.started,practice_fixation.started,practice_leftBox.started,practice_RightBox.started,practice_key_resp.started,practice_Cue.started,practice_Cue.stopped,practice_target.started,practice_trials.stopped,practice_loop.practice_key_resp.keys,practice_loop.practice_key_resp.corr,practice_loop.practice_key_resp.rt,practice_loop.practice_key_resp.duration,practice_error_feedback.started,text_2.started,text_2.stopped,practice_error_feedback.stopped,practice_target.stopped,practice_fixation.stopped,practice_leftBox.stopped,practice_RightBox.stopped,practice_key_resp.stopped,participant,session,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,0.022789124996052124,0.045960415998706594,0.045960415998706594,0.045960415998706594,0.5708778749976773,space,0.4953209160012193,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127547,001,2025-10-06_10h20.36.853,IOR3,2024.2.4,2025-10-06 10h20.41.512312 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,0.5713084999879356,0.5854093329980969,0.5854093329980969,1.4759720409929287,right,0.8816533750068629,None,,,,,,,,,,,,,,,,,,,,,,,127547,001,2025-10-06_10h20.36.853,IOR3,2024.2.4,2025-10-06 10h20.41.512312 -0400,
"[5.334, 0]","[-5.334, 0]",left,0.55,Invalid,0,0,0,left,1,1.6141293330001645,None,0,0,0,7,1.5419467079918832,,,,,,,,,,,,,,,,,1.484158415987622,1.5419467079918832,1.5419467079918832,1.5419467079918832,1.5419467079918832,2.216244374998496,2.2545074579975335,2.822276040998986,3.1596125829964876,left,1,1.6141293330001645,None,3.1599605829978827,3.1708549579925602,4.163672874987242,4.156893624996883,,,,,,127547,001,2025-10-06_10h20.36.853,IOR3,2024.2.4,2025-10-06 10h20.41.512312 -0400,
"[5.334, 0]","[-5.334, 0]",left,0.05,Invalid,1,1,0,right,0,1.4899451670062263,None,0,1,1,1,4.163672874987242,,,,,,,,,,,,,,,,,4.157831874996191,4.163672874987242,4.163672874987242,4.163672874987242,4.163672874987242,4.908401499997126,4.950181332998909,5.005112290993566,5.669408665999072,right,0,1.4899451670062263,None,5.669717707991367,5.675382999994326,6.669048540992662,6.662353915991844,,,,,,127547,001,2025-10-06_10h20.36.853,IOR3,2024.2.4,2025-10-06 10h20.41.512312 -0400,
"[-5.334, 0]","[-5.334, 0]",left,0.35,Valid,2,2,0,left,1,1.7164636249945033,None,0,2,2,4,6.669048540992662,,,,,,,,,,,,,,,,,6.663222624993068,6.669048540992662,6.669048540992662,6.669048540992662,6.669048540992662,7.476134999989881,7.518280624994077,7.80802899999253,8.39106208299927,left,1,1.7164636249945033,None,8.391395790997194,8.396905832996708,9.40066049998859,9.383514374989318,,,,,,127547,001,2025-10-06_10h20.36.853,IOR3,2024.2.4,2025-10-06 10h20.41.512312 -0400,
"[-5.334, 0]","[5.334, 0]",right,1.15,Invalid,3,3,0,left,0,1.3568347079999512,None,0,3,3,12,9.40066049998859,,,,,,,,,,,,,,,,,9.384488083000178,9.40066049998859,9.40066049998859,9.40066049998859,9.40066049998859,10.132111124999938,10.170538665988715,,10.759679249997134,left,0,1.3568347079999512,None,10.759924540994689,10.769355582990102,11.767078207994928,11.758044374990277,,,,,,127547,001,2025-10-06_10h20.36.853,IOR3,2024.2.4,2025-10-06 10h20.41.512312 -0400,
"[5.334, 0]","[-5.334, 0]",left,0.15,Invalid,4,4,0,None,0,,,0,4,4,3,11.767078207994928,,,,,,,,,,,,,,,,,11.75891954099643,11.767078207994928,11.767078207994928,11.767078207994928,11.767078207994928,12.508662999985972,12.548661290988093,12.699882582994178,13.706604582999717,None,0,,,13.715805124986218,13.721532374998787,14.710750250000274,14.704627582992543,13.694012290987303,13.705796540991287,13.721532374998787,13.721532374998787,13.721532374998787,127547,001,2025-10-06_10h20.36.853,IOR3,2024.2.4,2025-10-06 10h20.41.512312 -0400,
"[-5.334, 0]","[-5.334, 0]",left,0.75,Valid,5,5,0,None,0,,,0,5,5,9,14.710750250000274,,,,,,,,,,,,,,,,,14.705451874993742,14.710750250000274,14.710750250000274,14.710750250000274,14.710750250000274,15.455562457995256,15.499540082993917,16.254293291000067,17.25034024998604,None,0,,,17.250653457987937,17.258565040989197,18.250909415990463,18.242173874998116,17.249838082992937,17.249838082992937,17.258565040989197,17.258565040989197,17.258565040989197,127547,001,2025-10-06_10h20.36.853,IOR3,2024.2.4,2025-10-06 10h20.41.512312 -0400,
"[-5.334, 0]","[5.334, 0]",right,0.35,Invalid,6,6,0,,,,,0,6,6,5,18.250909415990463,,,,,,,,,,,,,,,,,18.24365062499419,18.250909415990463,18.250909415990463,18.250909415990463,18.250909415990463,19.006778040988138,19.04423954099184,19.39096208299452,20.38652870799706,None,0,,,20.3868785409868,20.391180582999368,,,20.38577899998927,20.391180582999368,20.391180582999368,20.391180582999368,20.391180582999368,,,,,,,
