cueSide,targetSide,correct,ISI,Validity,thisN,thisTrialN,thisRepN,practice_key_resp.keys,practice_key_resp.corr,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,preCue_Instruction.started,text_instr_2.started,nextButton.started,precue_bottom_txt.started,preCue_Instruction.stopped,nextButton.keys,nextButton.rt,nextButton.duration,Pre_Practice_window.started,key_instruct_3.started,preExperimentTxt_2.started,Pre_Practice_window.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,practice_trials.started,practice_fixation.started,practice_leftBox.started,practice_RightBox.started,practice_key_resp.started,practice_Cue.started,practice_Cue.stopped,practice_target.started,practice_target.stopped,practice_fixation.stopped,practice_leftBox.stopped,practice_RightBox.stopped,practice_key_resp.stopped,practice_trials.stopped,practice_loop.practice_key_resp.keys,practice_loop.practice_key_resp.corr,practice_error_feedback.started,text_2.started,text_2.stopped,practice_error_feedback.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.01690562499970838,0.024680332999651,0.024680332999651,0.024680332999651,0.803228708000006,space,0.7485224170000038,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,043366,001,2025-07-23_10h40.17.334,IOR _HSF5,2024.2.4,79.91316124451201,2025-07-23 10h40.25.410219 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,0.8035464999998112,0.8160162079998372,0.8160162079998372,2.909300499999972,right,2.084846749999997,None,,,,,,,,,,,,,,,,,,,,,043366,001,2025-07-23_10h40.17.334,IOR _HSF5,2024.2.4,79.91316124451201,2025-07-23 10h40.25.410219 -0400,
"[5.334, 0]","[-5.334, 0]",left,0.55,Invalid,0,0,0,None,0,0,0,0,7,2.955336915999851,,,,,,,,,,,,,,,,,2.918723249999857,2.955336915999851,2.955336915999851,2.955336915999851,2.955336915999851,3.650115082999946,3.698225999999977,4.256588875000034,5.248267332999603,5.2527203329996155,5.300786790999609,5.300786790999609,5.300786790999609,5.291819915999895,None,0,5.298117040999841,5.300786790999609,6.293119291000039,6.287320249999993,043366,001,2025-07-23_10h40.17.334,IOR _HSF5,2024.2.4,79.91316124451201,2025-07-23 10h40.25.410219 -0400,
"[-5.334, 0]","[5.334, 0]",right,0.35,Invalid,1,1,0,,,0,1,1,5,6.293119291000039,,,,,,,,,,,,,,,,,6.287905374999809,6.293119291000039,6.293119291000039,6.293119291000039,6.293119291000039,7.036651540999628,7.075254124999901,7.439927207999972,8.431602624999869,8.436576082999636,8.436576082999636,8.436576082999636,8.436576082999636,8.433350290999897,None,0,8.433648290999827,8.436576082999636,,,,,,,,,,
