cueSide,targetSide,correct,ISI,Validity,thisN,thisTrialN,thisRepN,practice_key_resp.keys,practice_key_resp.corr,practice_key_resp.rt,practice_key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,thisRow.t,notes,preCue_Instruction.started,text_instr_2.started,nextButton.started,precue_bottom_txt.started,preCue_Instruction.stopped,nextButton.keys,nextButton.rt,nextButton.duration,Pre_Practice_window.started,key_instruct_3.started,preExperimentTxt_2.started,Pre_Practice_window.stopped,key_instruct_3.keys,key_instruct_3.rt,key_instruct_3.duration,practice_trials.started,practice_fixation.started,practice_leftBox.started,practice_RightBox.started,practice_key_resp.started,practice_Cue.started,practice_Cue.stopped,practice_target.started,practice_trials.stopped,practice_loop.practice_key_resp.keys,practice_loop.practice_key_resp.corr,practice_loop.practice_key_resp.rt,practice_loop.practice_key_resp.duration,practice_error_feedback.started,text_2.started,practice_error_feedback.stopped,text_2.stopped,participant,session,date,expName,psychopyVersion,expStart,
,,,,,,,,,,,,,,,,,,0.024503083999661612,0.03850729199984926,0.03850729199984926,0.03850729199984926,1.074226541999451,space,1.0100927920002505,None,,,,,,,,,,,,,,,,,,,,,,,,,491637,001,2025-07-23_11h18.37.768,IOR3,2024.2.4,2025-07-23 11h18.41.930358 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,1.0745709590000843,1.0865465839997341,1.0865465839997341,1.8867351250000866,right,0.7849887089996628,None,,,,,,,,,,,,,,,,,,491637,001,2025-07-23_11h18.37.768,IOR3,2024.2.4,2025-07-23 11h18.41.930358 -0400,
"[5.334, 0]","[-5.334, 0]",left,0.55,Invalid,0,0,0,left,1,1.6391380420000132,None,0,0,0,7,1.9506467920000432,,,,,,,,,,,,,,,,,1.8989995839992844,1.9506467920000432,1.9506467920000432,1.9506467920000432,1.9506467920000432,2.637044916999912,2.683287124999879,3.2370734169999196,3.5952867089999927,left,1,1.6391380420000132,None,3.595722250000108,3.6027781669999968,4.5985209999998915,,491637,001,2025-07-23_11h18.37.768,IOR3,2024.2.4,2025-07-23 11h18.41.930358 -0400,
"[-5.334, 0]","[5.334, 0]",right,0.35,Invalid,1,1,0,right,1,1.6792626669994206,None,0,1,1,5,4.605168541999774,,,,,,,,,,,,,,,,,4.5994752919996245,4.605168541999774,4.605168541999774,4.605168541999774,4.605168541999774,5.335556958999405,5.382854999999836,5.741126916999747,6.292417208999723,right,1,1.6792626669994206,None,6.292918583999381,6.299246999999923,7.29061345899936,7.297109666999859,491637,001,2025-07-23_11h18.37.768,IOR3,2024.2.4,2025-07-23 11h18.41.930358 -0400,
"[5.334, 0]","[5.334, 0]",right,0.15,Valid,2,2,0,,,,,0,2,2,2,7.297109666999859,,,,,,,,,,,,,,,,,7.29151020900008,7.297109666999859,7.297109666999859,7.297109666999859,7.297109666999859,,,,,,,,,,,,,,,,,,,
